117	[(9, 0.42649365888638313), (12, 0.49749175921156941), (23, 0.042940726136974014), (28, 0.017566698951746423)]
118	[(0, 0.010759319961219791), (12, 0.65880636410895554), (26, 0.032868033357237043), (28, 0.071069022203557139), (47, 0.21311349771388893)]
119	[(5, 0.035408501287052148), (12, 0.40040169941406312), (14, 0.044720230159701092), (16, 0.25977997163156746), (20, 0.17771939477746646), (46, 0.04417985584813048), (47, 0.010565012277933886)]
120	[(1, 0.029123369738703889), (10, 0.032766203436069424), (14, 0.68933776193858409), (21, 0.029536489282851304), (28, 0.049788972202475849), (35, 0.080486573456338209), (48, 0.081082929719184474)]
121	[(8, 0.42694135200179395), (16, 0.099820135328958615), (25, 0.16098962178642601), (32, 0.077340951139773753), (38, 0.031880914760572712), (39, 0.20134752092914573)]
122	[(43, 0.77771271895956307), (46, 0.0308677775878612), (49, 0.14292375155572379)]
123	[(8, 0.23172807971630957), (11, 0.17322212679849586), (12, 0.12260543351255714), (18, 0.087813695338763625), (25, 0.21216288056934793), (46, 0.033067781529815383), (47, 0.13758012162763908)]
124	[(8, 0.26214449103077481), (9, 0.050702216512879199), (22, 0.030671489595380446), (44, 0.23838259396241898), (45, 0.12531005750221544), (47, 0.27212340197190893), (49, 0.012294667563942339)]
125	[(0, 0.081690249396061537), (5, 0.10097965093985288), (14, 0.71865560561245112), (15, 0.032603972525992377), (26, 0.058530767916455298)]
126	[(11, 0.19294042019883129), (13, 0.067876901965194095), (14, 0.015279194620990125), (18, 0.61442028065648269), (49, 0.10482387874330627)]
127	[(34, 0.99703870326453048)]
128	[(12, 0.43644969255589677), (13, 0.052504443750754901), (16, 0.44390705318900991), (32, 0.010780014587218568), (40, 0.016673608572129718), (48, 0.03194243037343291)]
129	[(15, 0.090844910634344481), (27, 0.6257051318818132), (37, 0.18279614085156828)]
130	[(12, 0.64847807279993763), (26, 0.12475641675205668), (40, 0.1528295358378258)]
131	[(12, 0.11159221403103541), (40, 0.14434780724092452), (43, 0.6442390443506284)]
132	[(9, 0.45739222387235445), (16, 0.2463284566610747), (17, 0.083238088455783524), (24, 0.12976865133337392)]
133	[(5, 0.081412347683186267), (27, 0.85562250111670501)]
134	[(14, 0.78098878259686055), (30, 0.1325419369841852)]
135	[(1, 0.028911482133552342), (13, 0.077302648619642964), (15, 0.25295191925969396), (25, 0.390899676520647), (33, 0.22718786915902531)]
136	[(12, 0.32254082654322408), (24, 0.039427231552468335), (43, 0.46291020258510862), (48, 0.13485769795622618)]
137	[(16, 0.82689416782477443), (28, 0.11009563353157992)]
138	[(7, 0.047909653586897166), (11, 0.056202251765618688), (33, 0.84290637406077773)]
139	[(15, 0.039309482801382183), (16, 0.10534150537127329), (27, 0.62825351004177943), (33, 0.021756796642750844), (36, 0.020560741208633642), (41, 0.063411702839442363), (43, 0.099493908938063272)]
140	[(1, 0.20811412550801925), (3, 0.29291777233203464), (19, 0.085820369934251739), (24, 0.11890023272293464), (26, 0.26987522340689646)]
141	[(42, 0.16131727915230984), (46, 0.51310808425932497), (47, 0.23334870062637014)]
142	[(26, 0.20841296824411099), (40, 0.73741325912869393)]
143	[(5, 0.3777815964850228), (12, 0.46727990451680196), (31, 0.09946971000123471)]
144	[(34, 0.81097264412639769)]
145	[(1, 0.04748238170724986), (9, 0.13601088555421417), (18, 0.016408909124152132), (28, 0.010265214796875713), (33, 0.086905409189166408), (43, 0.69323011748315233)]
146	[(2, 0.19106809451491127), (5, 0.22586807419958063), (9, 0.2188635143797249), (29, 0.18698545987917667)]
147	[(9, 0.67781064915305933), (47, 0.16324797327181606)]
148	[(0, 0.13271756005803317), (2, 0.033936775735167062), (5, 0.081400815156793052), (6, 0.011754425384154518), (13, 0.64949574517848163), (32, 0.061990630111646815), (49, 0.027007906013464974)]
149	[(0, 0.021957440856115996), (1, 0.021274623656389602), (2, 0.017997705053579494), (3, 0.019142354532641119), (4, 0.018826369718037139), (5, 0.021065583264455207), (6, 0.022993067693701175), (7, 0.018787889862819977), (8, 0.026524329707127384), (9, 0.021429092063970194), (10, 0.017468002102374647), (11, 0.020398368716018633), (12, 0.020850513051615414), (13, 0.020807609443950804), (14, 0.020634997723569453), (15, 0.01834305022099195), (16, 0.019455422577990624), (17, 0.018126920935835719), (18, 0.020019154298357773), (19, 0.018693900695380891), (20, 0.015905160708995929), (21, 0.018961779790428679), (22, 0.019598766621012769), (23, 0.02005205526893155), (24, 0.018733357051470986), (25, 0.020162744926504144), (26, 0.017881602495321787), (27, 0.017260711453904669), (28, 0.01818285756261619), (29, 0.018349463216915107), (30, 0.021705897047440824), (31, 0.017760360146530201), (32, 0.023538321963804738), (33, 0.018168553986284721), (34, 0.017440785904908305), (35, 0.021572037021719167), (36, 0.018046236846135433), (37, 0.018658282625581789), (38, 0.031391244161185002), (39, 0.019905960213626825), (40, 0.018264345828743884), (41, 0.019140836734849519), (42, 0.016867615085447932), (43, 0.022972903186233833), (44, 0.02105458506568576), (45, 0.02077108851993963), (46, 0.020198468760029339), (47, 0.018951473287798323), (48, 0.018236785947630178), (49, 0.025469322395399594)]
150	[(2, 0.31997475432727945), (4, 0.41119157738349799), (27, 0.18842067956025577), (34, 0.048988515375714171)]
151	[(7, 0.796904257819534), (23, 0.069120771637401782), (26, 0.014293299569422695), (32, 0.07771652503506539), (46, 0.033196910977220905)]
152	[(1, 0.03725313535360348), (2, 0.013205250932824424), (3, 0.053569133842950076), (4, 0.072287952746010187), (5, 0.13113479035697237), (9, 0.14933246378686402), (12, 0.021216887474709876), (13, 0.023180001366486545), (19, 0.11588902065675476), (24, 0.05628339528515109), (34, 0.10278273720441083), (35, 0.11347766308252159), (41, 0.030317299620739414), (43, 0.048748944536227898), (44, 0.020654012554303949)]
153	[(5, 0.046596190610745776), (30, 0.12696307014140437), (38, 0.24179658941358206), (39, 0.1325871855104282), (44, 0.44164168395597897)]
154	[(24, 0.52747350955198946), (31, 0.2346290445166471), (48, 0.15856124783140887)]
155	[(12, 0.91159030275313202)]
156	[(24, 0.94484754625520118)]
157	[(31, 0.92774419945071185)]
158	[(12, 0.79641837550190264), (26, 0.024951326298438589), (28, 0.1500603975686641), (31, 0.024280957982282268)]
159	[(6, 0.28084362178827593), (18, 0.050564369357352819), (31, 0.045955532641554504), (38, 0.46953709000393645), (49, 0.15024504260288502)]
160	[(4, 0.077156593783844069), (5, 0.017210028006550745), (12, 0.083502366301707945), (26, 0.50448298195357555), (28, 0.19755143713104595), (31, 0.026231848738900439), (38, 0.038885131910574362)]
